statement_edition,statement_source,statement_text
"on Thursday, August 30th, 2012",Anthony Gemma,"
	Says that as Providence’s mayor, David Cicilline said the city had a ""world-class … school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.""
"
"on Wednesday, August 29th, 2012",Paul Ryan,"
	Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.
"
"on Wednesday, August 29th, 2012",Rob Portman,"
	Barack Obama has ""never even worked in business.""
"
"on Wednesday, August 29th, 2012",Rick Santorum,"
	When his grandfather arrived in the United States, ""there were no government benefits for immigrants.""
"
"on Wednesday, August 29th, 2012",Ted Lyon,"
	Says most Texas schools spend 45 out of 180 school days in mandated testing.
"
"on Wednesday, August 29th, 2012",Michele Bachmann,"
	""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""
"
"on Tuesday, August 28th, 2012",Paul Ryan,"
	""Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts
	 
"
"on Monday, August 27th, 2012",Stephanie Cutter,"
	In the past 27 months, President Barack Obama has created more private-sector jobs than ""in the Reagan recovery.""
"
"on Monday, August 27th, 2012",Wayne Powell,"
	""This year, Eric Cantor has received more money from oil companies than any other member of Congress.""
"
"on Wednesday, August 22nd, 2012", Special Operations OPSEC Education Fund,"
	The Obama administration ""leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.""
"
"on Tuesday, August 21st, 2012",John Carter,"
	Says an appointed board created under Obamacare ""will have the ability to come between you and your doctor in determining the best treatment options for you!""     
	 
"
"on Tuesday, August 21st, 2012",Betty Sutton,"Says House Republicans spent $50 million on 33 votes to repeal Obamacare.
"
"on Monday, August 20th, 2012",Connie Mack,"
	Says Bill Nelson ""voted to raise our taxes 150 times.""
"
"on Friday, August 17th, 2012", American Civil Liberties Union of Florida,"
	""13,000 Floridians are able to vote -- but their governor won't tell them.""
"
"on Thursday, August 16th, 2012", Americans for Prosperity,"
	Says President Obama said of the national debt, ""If I don't have this done in three years, then there's going to be a one-term proposition.""
"
"on Wednesday, August 15th, 2012",David Cicilline,"
	""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""
"
"on Tuesday, August 14th, 2012", American Future Fund,"
	Says U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.""
"
"on Tuesday, August 14th, 2012",Debbie Wasserman Schultz,"""Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.""
"
"on Monday, August 13th, 2012", Floridians for Ethics and Truth in Politics,"
	Says state Senate candidate Aaron Bean voted to give health care subsidies to illegal immigrants.
"
"on Monday, August 13th, 2012",Anna Little,"
	""We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.""
"
"on Monday, August 13th, 2012",Bob McDonnell,"
	The Obama administration is ""unwinding our nation’s welfare-to-work requirements.""
"
"on Sunday, August 12th, 2012",Dolores Gresham,"
	""I didn’t try to push"" a bill to reduce lottery scholarship proceeds for students.
"
"on Friday, August 10th, 2012", Multnomah County Library Foundation,"
	Says library district would come ""at no direct cost to the city budget.""
"
"on Friday, August 10th, 2012", Tomorrow's Vision of Florida,"
	Says Ron Saunders ""made the choice to stand with Rick Scott"" on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy.
"
"on Friday, August 10th, 2012",Eric Hovde,"
	Says Tommy Thompson favors Obama's health care mandate, was publicly thanked by Obama for health reform support and that Thompson ""says we can't repeal 'Obamacare.'""
"
"on Friday, August 10th, 2012",Tommy Thompson,"
	 ""I have voted every year in Wisconsin.""
"
"on Friday, August 10th, 2012",Paul Broun,"
	A United Nations arms treaty would ""almost certainly force"" the U.S. to ""create an international gun registry, setting the stage for full-scale gun confiscation.""
"
"on Thursday, August 9th, 2012",Jay Carney,"
	""Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.""
"
"on Thursday, August 9th, 2012", Priorities USA Action,"
	Says Mitt Romney and Bain Capital are to blame in a woman’s premature death when they closed the plant where her husband worked.
	
"
"on Wednesday, August 8th, 2012",Mark Neumann,"
	Says he never voted for a ""tax increase.""
"
"on Monday, August 6th, 2012",Mitt Romney,"
	President Obama’s lawsuit claims it is unconstitutional for Ohio to allow servicemen and women extended early voting privileges during the state’s early voting period.
"
"on Monday, August 6th, 2012",Chuck Fleischmann,"
	Says that President Obama said that ""Small Businesses Succeed Because of Government.""
"
"on Friday, August 3rd, 2012", National Republican Congressional Committee,"
	In 2010, Betty Sutton ""voted to destroy Medicare.""
"
"on Thursday, August 2nd, 2012",Michael Riley,"
	The Congressional Budget Office ""has already doubled its estimate for the cost (of Obamacare) so far from roughly $800 billion to $1.7 trillion.""
"
"on Tuesday, July 31st, 2012",Kelly  Ayotte,"
	""The president's first major foreign policy speech in Cairo was to apologize for our country.""
"
"on Monday, July 30th, 2012",Gerard Robinson,"
	FCAT tests ""account for less than 1 percent of the instructional time provided during the year.""
	
	 
"
"on Monday, July 30th, 2012",Chris Christie,"
	""What I look at every month is how many more New Jerseyans are back to work. You have another 9,900 last month that are back to work and over almost 90,000 that are back to work now since I became governor.""
"
"on Sunday, July 29th, 2012",Scott Walker,"
	A study showed that President Barack Obama’s health-care reforms will ""devastate Wisconsin"" by pushing people off employer-sponsored insurance, driving up premiums, increasing dependency and making 122,000 people ineligible for Medicaid.
"
"on Sunday, July 29th, 2012", New Boston Republican Committee,"
	Says Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget.
"
"on Friday, July 27th, 2012",Wes Riddle,"
	Says U.S. is giving seven Alaskan islands to Russia.
"
"on Friday, July 27th, 2012",Lou Ann Zelenik,"
	""Diane Black voted to fund Obamacare.""
"
"on Thursday, July 26th, 2012",Mitt Romney,"
	President Obama was saying success ""is the result of government,"" not ""hard-working people,"" when he said, ""If you've got a business, you didn't build that. Somebody else made that happen.""
"
"on Wednesday, July 25th, 2012",Mark Neumann,"
	""Obamacare"" is the ""biggest tax increase in American history.""
"
"on Tuesday, July 24th, 2012",Steve Brown,"
	A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.
"
"on Monday, July 23rd, 2012",Chris Christie,"
	""I used my line-item veto authority to veto $360 million dollars in special interest spending, so that our budget this year ... is still smaller than the fiscal year 2008 and 2009 budgets signed by my predecessor.""
"
"on Sunday, July 22nd, 2012",Rachel O'Connor,"
	The Pasco County budget ""has doubled in the past three years.""
"
"on Sunday, July 22nd, 2012",Bill Pascrell,"
	Says President Barack Obama ""has not raised taxes.""
"
"on Friday, July 20th, 2012",Mitt Romney,"
	Says stimulus money went to buy electric cars from Finland as a payback to Obama supporters.
"
"on Wednesday, July 18th, 2012",Lou Greenwald,"
	Says ""the money is in the budget"" to give a tax break to ""everyone,"" including people making more than $1 million.
"
"on Tuesday, July 17th, 2012",Barack Obama,"
	Mitt Romney ""says the Arizona immigration law should be a model for the nation.""
	
	 
"
"on Monday, July 16th, 2012",Steve Doocy,"
	""If you make more than $250,000 a year … you only really take home about $125,000.""
"
"on Monday, July 16th, 2012",Marco Rubio,"
	The health care law ""adds around $800 billion of taxes on the American people. It does not discriminate between rich and poor.""
"
"on Monday, July 16th, 2012",Chris Christie,"
	""New Jersey today has fewer employees in state government than it had when Christie Whitman left office in January of 2001, and I think that’s good. And we did it without any layoffs. We did it through attrition.""
"
"on Monday, July 16th, 2012",Brian Robinson,"
	Funding the federal health care law without a tax hike will ""require the state to cut nearly a quarter of its annual budget.""
"
"on Sunday, July 15th, 2012",Tommy Thompson,"
	Says he ""never supported"" federal health care individual mandate.
"
"on Sunday, July 15th, 2012",Joseph Kyrillos,"
	""We are not producing jobs. We created 80,000 jobs last month. We don't talk about the jobs that we lost. The net of it all is that we lost jobs.""
"
"on Thursday, July 12th, 2012",Jeff Duncan,"
	""83% of doctors have considered leaving the profession because of #Obamacare.""
"
"on Thursday, July 12th, 2012",Chris Christie,"
	Says New Jersey’s tenure law ""has now been reformed to say that if teachers get two years of partially effective or ineffective ratings they lose tenure.""
"
"on Wednesday, July 11th, 2012", American Commitment,"
	The health care law could cost up to $2 trillion, ""double what we were promised.""
"
"on Wednesday, July 11th, 2012",Phil Gingrey,"
	The health care law is ""the largest tax [increase] in the history of our country""
"
"on Tuesday, July 10th, 2012", MoveOn.org,"
	Gov. Rick Scott ""tried to kick 180,000 people off the voter rolls.""
"
"on Tuesday, July 10th, 2012", MoveOn.org,"
	""Every one of the 67 supervisors of elections"" in Florida refused to carry out the effort to remove noncitizens from the voter rolls.
"
"on Monday, July 9th, 2012",David Dewhurst,"
	""I've never supported a payroll tax.""
"
"on Monday, July 9th, 2012", Facebook posts,"
	""75 percent of the Obamacare tax falls on the middle class.""
"
"on Monday, July 9th, 2012",Mitt Romney,"
	"" ‘Obamacare’ puts the federal government between you and your doctor.""
"
"on Sunday, July 8th, 2012",Mark Neumann,"
	If the U.S. didn't borrow $1.2 trillion every year ""to fund government operations,"" that money would be available ""for entrepreneurs and business people to put to work creating jobs and building and expanding their businesses.""
"
"on Friday, July 6th, 2012",Nancy  Pelosi,"Under the health care law, ""everybody will have lower rates, better quality care and better access.""
"
"on Friday, July 6th, 2012",Robin Vos,"
	Voter fraud provided ""a portion"" of the margin of victory of Democrat John Lehman over Republican Sen. Van Wanggaard in a state Senate recall election.
"
"on Thursday, July 5th, 2012", Clackamas County Democrats,"
	Says Clackamas County Measure 3-401 ""will hurt our county, cripple economic growth, and increase our taxes with excessive special elections."" 
"
"on Tuesday, July 3rd, 2012",Mitt Romney,"
	Says Dow Chemical decided to build a plant in Saudi Arabia rather than Oklahoma due to the impact of environmental regulations on the supply of natural gas.
"
"on Monday, July 2nd, 2012",Rick Scott,"
	The Medicaid expansion is ""going to cost Florida $1.9 billion a year.""
	 
"
"on Monday, July 2nd, 2012",Rick Scott,"
	Says the health care law rations care, like systems in Canada and Great Britain.
"
"on Monday, July 2nd, 2012",Dan Ramos,"
	Lorain ""is the poorest urban school district in the state of Ohio.""
"
"on Sunday, July 1st, 2012",Jennifer Beck,"
	""New Jersey's citizens are working at the highest rate in three years.""
"
"on Sunday, July 1st, 2012",George Allen,"
	President Obama's health care law is ""a government takeover of healthcare.""  
"
"on Saturday, June 30th, 2012",Ron Ramsey,"
	""(Environmentalists) said ‘We’re only going to stop coal mining above 2,000 feet.’ ... Well guess where all the coal in the state of Tennessee is? Above 2,000 feet.""
"
"on Saturday, June 30th, 2012",Barry Hinckley,"
	President Obama’s health-care law will ""add trillions of dollars in debt.""
"
"on Friday, June 29th, 2012",Charles Bass,"
	Says Ann Kuster said the debate over America’s debt limit is not an important issue of the day.
"
"on Friday, June 29th, 2012",Mitt Romney,"
	""Obamacare … means that for up to 20 million Americans, they will lose the insurance they currently have, the insurance that they like and they want to keep.""
"
"on Thursday, June 28th, 2012",Mitt Romney,"""Obamacare adds trillions to our deficits and to our national debt.""
"
"on Tuesday, June 26th, 2012",Shawn Lindsay,"
	Says, ""Yet in Salem they have traditionally waited until the money is almost gone to pay for the most important things in our state’s budget.""
"
"on Tuesday, June 26th, 2012", Workers' Voice,"
	Says Josh Mandel’s campaign is under FBI investigation
"
"on Monday, June 25th, 2012",Vincent Prieto,"
	Says Gov. Chris Christie’s proposed budget is ""the biggest spending budget in the history of the state of New Jersey. It is the largest in the nation at this point in time.""
"
"on Sunday, June 24th, 2012",Chris Christie,"
	Says New Jersey’s job growth in May represents ""25 percent of all the jobs created in the country.""
"
"on Friday, June 22nd, 2012",Jim Renacci,"
	""My opponent, in 2008, had contributions investigated by the federal government.""
"
"on Thursday, June 21st, 2012",Eric Hovde,"
	Since President Barack Obama took office, ""you have 1,700 employees just at the Department of Transportation"" earning over $170,000.
"
"on Thursday, June 21st, 2012", Democratic Congressional Campaign Committee,"
	""Congressman Renacci is under FBI investigation.""
"
"on Wednesday, June 20th, 2012",Debbie Wasserman Schultz,"
	""The Koch brothers alone gave twice as much money to Scott Walker as the total amount of money raised by Tom Barrett.""
"
"on Wednesday, June 20th, 2012",Rob Portman,"
	Says that under President Obama, there’s been a substantial increase in federal government jobs.  
"
"on Wednesday, June 20th, 2012", American Crossroads,"
	Tim Kaine urged ""$500 billion in Medicare cuts.""
"
"on Monday, June 18th, 2012",Nathan Deal,"
	The Americans for Tax Reform pledge ""relates to new taxes that were going to be initiated by legislative action.""
"
"on Sunday, June 17th, 2012",Reince Priebus,"
	Says President Barack Obama wants to raise ""the lowest (income) tax rate from 10 to 15 percent.""
"
"on Sunday, June 17th, 2012",Robert Menendez,"
	Says Joe Kyrillos ""voted to raid the state's pension funds by $2.8 billion that is costing New Jersey taxpayers still today to the tune of nearly $15 billion dollars to repay that money.""
"
"on Sunday, June 17th, 2012",John G. Edwards,"Decriminalizing marijuana ""will save the state anywhere from $4 (million) to $11 million dollars.""
"
"on Thursday, June 14th, 2012",Chris Garrett and Bill Kennemer,"
	Say ""this biennium, liquor sales account for nearly $1 billion in the state budget.""
"
"on Thursday, June 14th, 2012", Ohio Democratic Party,"
	Rob Portman shares ""radical, ideological views"" toward women.
"
"on Thursday, June 14th, 2012", Stop Gillnetting Now,"
	Says ""Oregon is one of only three states that allow the use of gillnets on inland waters.""
"
"on Wednesday, June 13th, 2012", National Rifle Association,"
	Says Barack Obama ""supported Ted Kennedy’s ammo ban to outlaw all deer-hunting ammunition.""
"
"on Wednesday, June 13th, 2012",Christopher Blazejewski,"
	Most tips left at Dunkin’ Donuts don’t go to employees.
"
"on Tuesday, June 12th, 2012",Chris Matthews,"Under Florida’s voting law, a requirement to turn in voter registrations within 48 hours ""makes it impossible to meet the deadline if you’re working right to the end of the week.""
"
"on Monday, June 11th, 2012",Bob McDonnell,"
	Virginia ""is home to more veterans per capita than any state in America.""
"
"on Monday, June 11th, 2012",Chris Christie,"
	""When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.""
"
"on Friday, June 8th, 2012",Wes Riddle,"
	Says combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.
"
"on Thursday, June 7th, 2012",Bob Marshall,"Homosexual behavior ""cuts your life by about 20 years.""
"
"on Thursday, June 7th, 2012",Loretta  Weinberg,"
	Says PolitiFact ""listed Governor Scott Walker of Wisconsin as the Governor who told the most lies"" and ""our own ‘untruthful’ Governor Chris Christie made it into Politifact's top five of ‘Lie - en Governors’.""
"
"on Thursday, June 7th, 2012",Jim Renacci,"
	""There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.""
"
"on Wednesday, June 6th, 2012", New Jersey Democratic State Committee,"
	Says PolitiFact issued a True ruling on Paul Krugman calling ""Governor Christie a ‘fiscal phony.’""
"
"on Sunday, June 3rd, 2012",Tom Barrett,"
	Says Gov. Scott Walker made ""draconian cuts"" to public safety budgets that put police officers at ""greater risk of harm.""
"
"on Sunday, June 3rd, 2012", Memphis Police Association,"
	Says ""city leadership is threatening to lay off police and emergency services personnel to balance the budget.""
"
"on Friday, June 1st, 2012",Tom Barrett,"
	""No one on my staff has ever been charged with a crime.""
"
"on Thursday, May 31st, 2012",Reince Priebus,"
	Because of voter fraud, Republican candidates ""need to do a point or two better"" to win statewide elections in Wisconsin.
"
"on Thursday, May 31st, 2012", We Are Wisconsin ,"
	Says Gov. Scott Walker ""took away $1.6 billion from schools and handed it off as over $2 billion in tax breaks to the rich.""
"
"on Wednesday, May 30th, 2012",Allen West,"
	An ""Obamacare slush fund"" paid to spay and neuter dogs and cats, then counted it as an ""anti-obesity campaign.""
"
"on Wednesday, May 30th, 2012",Michelle Obama,"
	""Only 2 percent of public high schools in the country offer PE classes.""
"
"on Wednesday, May 30th, 2012",Josh Mandel,"
	Says Sen. Sherrod Brown ""cast the deciding vote on the government takeover of health care.""
"
"on Tuesday, May 29th, 2012",Joseph McNamara,"
	""In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.""
"
"on Monday, May 28th, 2012",Cory Booker,"
	Says under President Barack Obama there’s been ""the lowest discretionary spending we’ve had in decades in the United States.""
"
"on Sunday, May 27th, 2012",Anastasia Williams,"
	In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.
"
"on Friday, May 25th, 2012",William O'Brien,"
	""There’s 400 more people working in health care today in New Hampshire than when we passed the budget.""
"
"on Thursday, May 24th, 2012",Scott Walker,"
	Says new figures he released showing Wisconsin job gains for 2011 are ""the final job numbers.""
"
"on Thursday, May 24th, 2012",Tom Barrett,"
	Says Gov. Scott Walker is ""cooking the books"" by releasing numbers ""he just dreamed up"" that show Wisconsin gained jobs in 2011.
"
"on Thursday, May 24th, 2012",Shelley Adler,"
	Says Jon Runyan voted to ""end programs to aid homeless veterans.""
"
"on Wednesday, May 23rd, 2012",Gilberto Hinojosa,"
	Says ""large majority"" of Republicans believe Obama is a Muslim and not U.S.-born.
"
"on Monday, May 21st, 2012", Crossroads GPS,"
	""Millions could lose their health care coverage and be forced into a government pool"" under the new health care law.
"
"on Monday, May 21st, 2012",Mitt Romney,"
	When Mitt Romney was governor of Massachusetts, ""we didn’t just slow the rate of growth of our government, we actually cut it.""
"
"on Sunday, May 20th, 2012",Jon Runyan,"
	Says ""as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it.""
"
"on Friday, May 18th, 2012",Sherrod Brown,"
	Says Josh Mandel opposed federal loans to the auto industry.
"
"on Thursday, May 17th, 2012",Mark Neumann,"
	""Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.""
"
"on Thursday, May 17th, 2012",Tom Barrett,"
	Says Gov. Scott Walker said ""no to equal pay for equal work for women.""
"
"on Tuesday, May 15th, 2012", Transportation Leadership Coalition,"
	The Georgia Regional Transportation Authority ""concluded that light rail in Cobb County would more than double commute time and would therefore be unsuccessful in alleviating traffic congestion.""
"
"on Monday, May 14th, 2012",Barack Obama,"
	Says Mitt Romney would deny gay people the right to adopt children.
"
"on Monday, May 14th, 2012",Joe Biden,"
	""When we took office, let me remind you, there was virtually no international pressure on Iran.""
"
"on Sunday, May 13th, 2012", Chain email,"
	The salaries of Wisconsin’s best-educated public school teachers were ""slashed"" by Gov. Scott Walker through a recent administrative rule change.
"
"on Friday, May 11th, 2012",Marco Rubio,"
	Democrats plan to keep student loan interest rates low  ""by raising taxes on small businesses, very small businesses … the kinds of small businesses that give jobs to graduates.""
"
"on Friday, May 11th, 2012",Charlotte Bergmann,"
	Says George Flinn has been a ""no show"" at scheduled ""forums.""
"
"on Friday, May 11th, 2012",Betty Sutton,"
	Jim Renacci ""voted repeatedly to end Medicare.""
"
"on Thursday, May 10th, 2012",Barack Obama,"
	""The only time government employment has gone down during a recession has been under me.""
"
"on Thursday, May 10th, 2012",Gwen Moore,"
	Says Gov. Scott Walker approved a ""gutting"" of two tax credits that help the poor and elderly.
"
"on Wednesday, May 9th, 2012",Bill Spelman,"
	Says challenger Dominic Chavez is a ""Rick Perry Republican"" lobbyist.
"
"on Monday, May 7th, 2012",Rudy Moise,"
	The congressional district for Miami-Dade and Broward counties has a ""staggering drop-out rate of almost 61 percent.""
"
"on Monday, May 7th, 2012",Bob McDonnell,"
	 The U.S. economy is ""recovering slower than Europe ""
"
"on Sunday, May 6th, 2012",Sheldon Whitehouse,"
	""If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.""
"
"on Saturday, May 5th, 2012",Jefferson Smith,"
	Says the mayor’s job ""is to make sure that if somebody is trying to build a set of water treatment plants to cure us from cryptosporidium we don’t have, we don't say yes even if CH2M Hill wants us to."" 
"
"on Saturday, May 5th, 2012",Eileen Brady,"
	Says we could have saved ourselves the cost of building the Powell Butte water reservoir.
"
"on Friday, May 4th, 2012",Barack Obama,"
	""Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.""
"
"on Friday, May 4th, 2012",Bill Johnson,"
	Says the oil industry subsidies that President Barack Obama is attacking don’t exist
"
"on Friday, May 4th, 2012",Amanda  Fritz,"
	Says she is ""saving ratepayers $6 million/year.""
"
"on Thursday, May 3rd, 2012",Jennifer Carroll,"
	""We didn’t go out asking people"" to join the ""stand your ground"" task force.
"
"on Thursday, May 3rd, 2012", Americans for Prosperity,"
	Says the stimulus bill sent tax credits overseas, such as ""half a billion to an electric car company that created hundreds of jobs in Finland.""
"
"on Wednesday, May 2nd, 2012",Kathleen Falk,"
	Wisconsin women ""are paid 81 cents to the dollar of a man doing the same job.""
"
"on Tuesday, May 1st, 2012", American Crossroads,"
	""After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.""
"
"on Sunday, April 29th, 2012",Joseph Kyrillos,"
	""In my years in the State Legislature, I have never voted for a tax increase.""
"
"on Friday, April 27th, 2012",Charlie Hales,"
	Says ""I worked with our Mayor and other commissioners to help save the school year when a budget crisis in Salem threatened to cut four weeks of the school year,"" including  negotiating with teachers to work for free.
"
"on Friday, April 27th, 2012",Ron Paul,"
	""Just on Jan. 1 of this year, there were 40,000 new laws put on the books in one day.""
"
"on Friday, April 27th, 2012", Wisconsin Medical Society,"
	Under a new law, doctors performing drug-induced abortions could be charged if women don’t return to them for follow-up care
"
"on Friday, April 27th, 2012",Samuel Wurzelbacher,"
	Says President Barack Obama's parents were communists.
"
"on Friday, April 27th, 2012",Bill Haslam,"
	""Personal income is growing faster in Tennessee on average than any other state in the country.""
"
"on Friday, April 27th, 2012",Barry Hinckley,"
	President Obama gave Egypt's Muslim Brotherhood one and a half billion dollars.
"
"on Thursday, April 26th, 2012", R2RMerge,"
	Says George Norcross said the ""TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.""
"
"on Wednesday, April 25th, 2012",Clay Dafoe,"
	Says bus riders subsidize the ""expensive, romanticized"" Leander-to-Austin train.
"
"on Wednesday, April 25th, 2012",Sheila Oliver,"
	Says ""$57,000 is the mean [income] in our state"" for a family.
"
"on Wednesday, April 25th, 2012",H. Ford Gravitt,"""We don’t allow filming inside of the City Hall unless there is a specific reason.""
"
"on Sunday, April 22nd, 2012",Raymond Bateman,"
	Says ""Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.""
"
"on Friday, April 20th, 2012",Ted Cruz,"
	David Dewhurst ""has never once cut one penny from the state budget.""
"
"on Thursday, April 19th, 2012", American Energy Alliance,"Gas prices have doubled because ""Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone pipeline. So we will all pay more at the pump.""
"
"on Thursday, April 19th, 2012",Tommy Thompson,"
	Every time the price of gasoline rises 1 cent, ""it's a billion dollars out of our economy that goes to Saudi Arabia.""
"
"on Wednesday, April 18th, 2012", Anonymous Flier,"
	A proposed regional transportation tax will last ""a minimum"" of 10 years, and has been approved to last longer.
"
"on Tuesday, April 17th, 2012",Mike Dovilla,"Says President Obama's decision to not issue a permit for the Keystone XL pipeline meant ""we were denied the ability immediately to reduce prices at the pump.""
"
"on Thursday, April 12th, 2012",Cory Booker,"
	Says New Jersey Devils managing partner Jeff Vanderbeek ""took us into arbitration.""
"
"on Thursday, April 12th, 2012",Matthew Hill,"
	Says abortion doctors are ""flying into this state, performing abortions and flying out.""
"
"on Wednesday, April 11th, 2012",Johnny Isakson,"The Keystone oil pipeline ""would employ 20,000 people in the United States.""
"
"on Wednesday, April 11th, 2012",Charlie Gonzalez,"
	Says that Mitt Romney, while he was in Arizona, said he believes the state’s SB 1070 immigration law should be the model for national immigration laws.
"
"on Tuesday, April 10th, 2012",Kathleen Falk,"
	Says Wisconsin women facing pay discrimination can't ""do something about it"" under bill passed by Republicans.
"
"on Monday, April 9th, 2012",Joe Biden,"
	""General Motors is the largest corporation in the world again.""
"
"on Monday, April 9th, 2012",Scott Walker,"
	""We gave every public employee in the state the freedom to choose whether or not they want to be in a union.""
"
"on Monday, April 9th, 2012",Morgan Griffith,"
	""On most things except witch trials, Virginia will always have been first.""
"
"on Sunday, April 8th, 2012",Eric Hovde,"
	Says Obama health reform law denies millions ""access to affordable insurance.""
"
"on Friday, April 6th, 2012",  AFSCME,"
	Says gubernatorial recall candidate Tom Barrett supported passage of Gov. Scott Walker’s bill stripping collective bargaining of state employees.
"
"on Wednesday, April 4th, 2012",Mitt Romney,"
	Says Barack Obama ""is the only president to ever cut $500 billion from Medicare.""
"
"on Wednesday, April 4th, 2012",Barack Obama,"
	If the Supreme Court throws out the federal health care law, it ""would be an unprecedented, extraordinary step of overturning a law that was passed by a strong majority of a democratically elected Congress.""
"
"on Tuesday, April 3rd, 2012",Rick Santorum,"
	""I think it’s seven or eight of the California system of universities don’t even teach an American history course. It’s not even available to be taught.""
"
"on Tuesday, April 3rd, 2012", Brady Campaign to Prevent Gun Violence,"
	The Florida Department of Agriculture’s website FreshFromFlorida.com can be used ""to get a permit to carry a loaded hidden gun without ever leaving your house.""
"
"on Monday, April 2nd, 2012",Rick Scott,"
	Says Barack Obama's health care law ""will be the biggest job-killer ever.""
"
"on Monday, April 2nd, 2012", New Jersey Republican State Committee,"
	""And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state.""
"
"on Sunday, April 1st, 2012",Frank LoBiondo,"
	Says ""new estimates from the Congressional Budget Office conclude the final price-tag"" for the health care law ""will exceed $2 trillion — more than double what was initially reported.""
"
"on Friday, March 30th, 2012",Marsha Blackburn,"
	Says President Obama and his allies in Congress gave ""power"" to control Medicare patients’ health care decisions to ""a commission of 15 unelected bureaucrats in Washington.""
"
"on Thursday, March 29th, 2012",Pat Boone,"
	""Medicare will be bankrupt in nine years.""
"
"on Thursday, March 29th, 2012",Dolores Gresham,"
	""Right now we have sufficient reserves to take care of Tennessee's lottery scholarship students for a few years more.""
"
"on Wednesday, March 28th, 2012",Steve Rothman,"
	Says Congressman Bill Pascrell ""voted to remove the public option from the Affordable Health Care Act.""
"
"on Wednesday, March 28th, 2012",Harold Metts,"
	Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education."" 
"
"on Tuesday, March 27th, 2012",Jimmie T. Smith,"
	""It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.""
"
"on Tuesday, March 27th, 2012",Tom Price,"
	New federal projections estimate that the health care overhaul ""will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.""
"
"on Monday, March 26th, 2012",Tommy Thompson,"
	Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the state’s unemployment rate was ""the lowest in the country for 40 consecutive months.""
"
"on Wednesday, March 21st, 2012", Bloggers,"
	The administration has issued rules for ""$1 abortions in ObamaCare"" and ""requires all persons enrolled in insurance plans that include elective abortion coverage to pay"" an abortion premium.
"
"on Wednesday, March 21st, 2012",Ted Cruz,"
	""Did you know ObamaCare will cost nearly twice as much as initially expected -- $1.8 TRILLION?""
"
"on Wednesday, March 21st, 2012",Bill Pascrell,"
	""Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that.""
"
"on Monday, March 19th, 2012",Rod Monroe,"
	Says ""the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.""
"
"on Thursday, March 15th, 2012", Democratic Party of Wisconsin,"
	Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.
"
"on Sunday, March 11th, 2012",Stephen Laffey,"
	Giant companies like Toyota will not locate in a state that has not passed a right-to-work law
"
"on Thursday, March 8th, 2012",Lenny Curry,"
	Says Barack Obama ""promised"" gasoline at $2.50 a gallon.
"
